Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
"Lime as tailing by-products from mining operations (generic), optimised transport, building savings considered, avoided product SCM",Lime as tailing by-products from mining operations (generic),1,200,1,SCM,-127.7109208,-73273.58349,-4.609352594,-73266.08121,-2.892925994,1057675.098,1062760.051,-5084.952891,-627869.0257,-0.421596646,-27.97913292,-317.4677474,2.24682E-05,2.88984E-05,-6.43014E-06,0.0003503,0.000354464,-4.16372E-06,-992.324288,-15065.53191,-0.000713108,3.831566715,-0.000348294,-120.3522762,-2750.356079,-18631.88696
"Lime as tailing by-products from mining operations (generic), optimised transport, building savings considered, avoided product Aggregate",Lime as tailing by-products from mining operations (generic),1,200,1,Aggregate,-78.81582652,-47993.57402,-1.933750094,-47990.71256,-0.927707669,1113501.478,1117079.81,-3578.331471,-540472.3842,-0.177530324,-13.72868531,-151.0722173,2.65695E-05,3.16339E-05,-5.06437E-06,0.000507371,0.000510057,-2.68634E-06,-852.6291303,-21506.37159,-0.000660313,3.93719566,-7.74485E-05,-75.24272946,-1124.033365,-17953.85666
"Lime as tailing by-products from mining operations (generic), optimised transport, building savings considered, avoided product Filler",Lime as tailing by-products from mining operations (generic),1,200,1,Filler,-130.4768548,-58219.92517,-11.87758191,-58201.97248,-6.075111594,1078450.27,1083225.899,-4775.628574,-685746.8759,-0.413579742,-23.2415657,-259.9544416,1.68733E-05,2.40132E-05,-7.13993E-06,0.000316047,0.000328721,-1.2674E-05,-1100.038681,-36824.33586,-0.001004604,3.719991134,-0.000459828,-119.7271223,-4392.771302,-17953.85666
"Lime as tailing by-products from mining operations (generic), optimised transport, short distance",Lime as tailing by-products from mining operations (generic),1,50,0,None,21.69037344,-7201.104158,4.863951325,-7210.702185,4.734074774,1152925.006,1152270.491,654.5148252,35108.80202,0.355112483,4.184666638,48.41357085,3.67287E-05,3.5657E-05,1.07177E-06,0.000639284,0.000633132,6.15239E-06,104.8258996,46532.72515,4.10538E-05,3.975991249,0.000187832,14.41934529,1676.351269,946.8194906
"Lime as tailing by-products from mining operations (generic), optimised transport, short distance, avoided product SCM",Lime as tailing by-products from mining operations (generic),1,50,0,SCM,-29.60503838,-32826.39338,1.951777049,-32830.86814,2.522983546,1094826.495,1095770.576,-944.0807488,-56948.25572,0.105558159,-10.89044295,-127.0571773,3.23623E-05,3.28066E-05,-4.44295E-07,0.000478948,0.000474553,4.39474E-06,-38.84051091,30381.64407,-1.6659E-05,3.868985661,-0.00012495,-33.54709177,-34.63142246,-138.0289943
"Lime as tailing by-products from mining operations (generic), optimised transport, short distance, avoided product Aggregate",Lime as tailing by-products from mining operations (generic),1,50,0,Aggregate,19.29005592,-7546.383909,4.627379549,-7555.499491,4.48820187,1150652.875,1150090.334,562.5406712,30448.38584,0.34962448,3.360004654,39.33835277,3.64635E-05,3.55421E-05,9.21474E-07,0.000636018,0.000630146,5.87211E-06,100.8546468,23940.8044,3.61367E-05,3.974614606,0.000145896,11.56245498,1591.691291,540.0013087
"Lime as tailing by-products from mining operations (generic), optimised transport, short distance, avoided product Filler",Lime as tailing by-products from mining operations (generic),1,50,0,Filler,-32.37097235,-17772.73506,-5.31645227,-17766.7594,-0.659202055,1115601.667,1116236.423,-634.7564318,-114826.1059,0.113575063,-6.152875733,-69.54387148,2.67673E-05,2.79214E-05,-1.15408E-06,0.000444695,0.00044881,-4.11556E-06,-146.5549037,8622.840124,-0.000308155,3.75741008,-0.000236483,-32.92193783,-1677.046645,540.0013087
"Lime as tailing by-products from mining operations (generic), optimised transport, short distance, building savings considered",Lime as tailing by-products from mining operations (generic),1,50,1,None,-79.50293801,-48776.11852,-2.017655537,-48772.8406,-1.260258484,1106803.659,1110624.478,-3820.818331,-552953.7368,-0.182935191,-13.70343983,-150.4013719,2.63092E-05,3.1477E-05,-5.16783E-06,0.00049824,0.000501242,-3.00196E-06,-855.0567431,-16137.58882,-0.000674532,3.935335406,-0.00014646,-76.83318273,-1125.301602,-18775.73325
"Lime as tailing by-products from mining operations (generic), optimised transport, short distance, building savings considered, avoided product SCM",Lime as tailing by-products from mining operations (generic),1,50,1,SCM,-130.7983498,-74401.40774,-4.929829813,-74393.00656,-3.471349712,1048705.148,1054124.562,-5419.413905,-645010.7945,-0.432489515,-28.77854942,-325.8721201,2.19427E-05,2.86266E-05,-6.68389E-06,0.000337904,0.000342663,-4.75962E-06,-998.7231536,-32288.66989,-0.000732245,3.828329817,-0.000459242,-124.7996198,-2836.284294,-19860.58173
"Lime as tailing by-products from mining operations (generic), optimised transport, short distance, building savings considered, avoided product Aggregate",Lime as tailing by-products from mining operations (generic),1,50,1,Aggregate,-81.90325552,-49121.39827,-2.254227313,-49117.63791,-1.506131388,1104531.528,1108444.321,-3912.792485,-557614.1529,-0.188423194,-14.52810181,-159.47659,2.6044E-05,3.13621E-05,-5.31812E-06,0.000494974,0.000498256,-3.28224E-06,-859.0279959,-38729.50957,-0.000679449,3.933958763,-0.000188396,-79.69007304,-1209.961581,-19182.55143
"Lime as tailing by-products from mining operations (generic), optimised transport, short distance, building savings considered, avoided product Filler",Lime as tailing by-products from mining operations (generic),1,50,1,Filler,-133.5642838,-59347.74942,-12.19805913,-59328.89782,-6.653535313,1069480.32,1074590.41,-5110.089588,-702888.6447,-0.424472611,-24.0409822,-268.3588143,1.63477E-05,2.37414E-05,-7.39368E-06,0.000303651,0.00031692,-1.32699E-05,-1106.437546,-54047.47384,-0.001023741,3.716754237,-0.000570775,-124.1744658,-4478.699517,-19182.55143
"Lime, regenerated using thermal calcination","Lime, regenerated using thermal calcination",0,200,0,None,99.38583579,12611.7217,18.3791659,12572.41233,20.93020846,118075.5189,112859.6519,5215.866957,341647.6968,0.471162111,27.49350049,300.212152,2.35828E-05,7.12898E-06,1.64538E-05,0.000241779,0.000230073,1.17052E-05,362.8173253,98889.20662,0.000355592,0.135373828,0.001654239,114.356619,6822.885695,7172.784883
"Lime, regenerated using thermal calcination, building savings considered","Lime, regenerated using thermal calcination",0,200,1,None,-1.807475657,-28963.29266,11.49755904,-28989.72609,14.9358752,71954.17233,71213.63853,740.5338005,-246414.8419,-0.066885563,9.605394028,101.3972092,1.31632E-05,2.94902E-06,1.02142E-05,0.000100735,9.81837E-05,2.55085E-06,-597.0653174,36218.89265,-0.000359994,0.094717985,0.001319947,23.10409096,4021.232824,-12549.76785
"Lime, regenerated using thermal calcination, short distance","Lime, regenerated using thermal calcination",0,50,0,None,51.39866863,2499.212254,12.62802465,2472.37793,14.20629988,45134.25802,42706.42128,2427.836743,200375.4351,0.336200022,12.10924569,132.7260066,9.00049E-06,3.69925E-06,5.30124E-06,0.000128605,0.00012309,5.51558E-06,266.5418385,35676.45209,0.000194916,0.058428768,0.000652553,50.32032578,5914.228037,4517.287868
"Lime, regenerated using thermal calcination, short distance, building savings considered","Lime, regenerated using thermal calcination",0,50,1,None,-49.79464282,-39075.8021,5.746417784,-39089.76049,8.211966626,-987.0885532,1060.407861,-2047.496414,-387687.1037,-0.201847652,-5.778860776,-66.08893618,-1.41906E-06,-4.8071E-07,-9.38354E-07,-1.24387E-05,-8.79996E-06,-3.63877E-06,-693.3408042,-26993.86188,-0.00052067,0.017772925,0.000318261,-40.93220224,3112.575165,-15205.26487
"Lime, regenerated using thermal calcination, optimised transport","Lime, regenerated using thermal calcination",1,200,0,None,39.51951825,632.1414354,11.13828052,608.2669263,12.73622865,32780.43773,30835.99637,1944.441357,176140.3728,0.305736485,8.047049417,88.10312172,4.84041E-06,2.91836E-06,1.92205E-06,0.00010741,0.000103163,4.24691E-06,242.9818304,37569.71789,0.000166873,0.037096277,0.000466587,34.90468615,5725.913104,5270.381889
"Lime, regenerated using thermal calcination, optimised transport, building savings considered","Lime, regenerated using thermal calcination",1,200,1,None,-61.6737932,-40942.87292,4.256673658,-40953.87149,6.741895393,-13340.90885,-10810.01705,-2530.8918,-411922.1659,-0.232311189,-9.841057049,-110.7118211,-5.57915E-06,-1.2616E-06,-4.31755E-06,-3.36344E-05,-2.87269E-05,-4.90745E-06,-716.9008123,-25100.59608,-0.000548713,-0.003559566,0.000132295,-56.34784187,2924.260233,-14452.17085
"Lime, regenerated using thermal calcination, optimised transport, short distance","Lime, regenerated using thermal calcination",1,50,0,None,36.43208925,-495.6828123,10.8178033,-518.6584205,12.15780493,23810.48773,22200.50739,1609.980342,158998.6041,0.294843615,7.24763292,79.69874903,4.3149E-06,2.6466E-06,1.6683E-06,9.50131E-05,9.13621E-05,3.65101E-06,236.5829648,20346.57991,0.000147736,0.03385938,0.00035564,30.45734257,5639.984889,4041.687119
"Lime, regenerated using thermal calcination, optimised transport, short distance, building savings considered","Lime, regenerated using thermal calcination",1,50,1,None,-64.7612222,-42070.69717,3.936196439,-42080.79684,6.163471675,-22310.85885,-19445.50603,-2865.352814,-429063.9347,-0.243204059,-10.64047354,-119.1161937,-6.10466E-06,-1.53337E-06,-4.57129E-06,-4.6031E-05,-4.05276E-05,-5.50334E-06,-723.2996779,-42323.73406,-0.00056785,-0.006796463,2.13476E-05,-60.79518545,2838.332018,-15680.86562
"Lime, regenerated using electrical calcination","Lime, regenerated using electrical calcination",0,200,0,None,71.83007293,5249.39737,8.918615081,5229.75231,10.72644481,107103.978,102867.032,4236.946006,199743.0163,0.229743105,21.7213469,236.6991491,2.29018E-05,6.83191E-06,1.60699E-05,0.000225675,0.000214575,1.10994E-05,141.8954889,90279.27585,0.000227756,0.167830554,0.001408571,89.96756609,1511.392971,6245.692365
"Lime, regenerated using electrical calcination, building savings considered","Lime, regenerated using electrical calcination",0,200,1,None,-29.36323852,-36325.61699,2.037008219,-36332.38611,4.732111551,60982.63141,61221.01856,-238.3871503,-388319.5225,-0.308304569,3.833240437,37.88420637,1.24823E-05,2.65195E-06,9.83034E-06,8.46307E-05,8.26857E-05,1.94502E-06,-817.9871538,27608.96188,-0.00048783,0.127174711,0.001074279,-1.284961929,-1290.259901,-13476.86037
"Lime, regenerated using electrical calcination, short distance","Lime, regenerated using electrical calcination",0,50,0,None,23.84290577,-4863.112077,3.167473826,-4870.282087,4.002536235,34162.7171,32713.80131,1448.915792,58470.75455,0.094781016,6.337092098,69.21300377,8.31956E-06,3.40219E-06,4.91738E-06,0.000112502,0.000107592,4.90975E-06,45.62000208,27066.52132,6.70799E-05,0.090885494,0.000406885,25.93127289,602.7353127,3590.19535
"Lime, regenerated using electrical calcination, short distance, building savings considered","Lime, regenerated using electrical calcination",0,50,1,None,-77.35040568,-46438.12644,-3.714133036,-46432.4205,-1.991797023,-11958.62948,-8932.212111,-3026.417365,-529591.7842,-0.443266658,-11.55101437,-129.601939,-2.09999E-06,-7.77776E-07,-1.32222E-06,-2.85426E-05,-2.4298E-05,-4.24461E-06,-914.2626406,-35603.79264,-0.000648506,0.05022965,7.25925E-05,-65.32125513,-2198.917559,-16132.35739
"Lime, regenerated using electrical calcination, optimised transport","Lime, regenerated using electrical calcination",1,200,0,None,11.96375538,-6730.182895,1.6777297,-6734.39309,2.532465002,21808.89681,20843.3764,965.5204061,34235.6923,0.064317479,2.274895825,24.59011889,4.15948E-06,2.62129E-06,1.53819E-06,9.13059E-05,8.76648E-05,3.64107E-06,22.059994,28959.78712,3.90366E-05,0.069553003,0.000220919,10.51563327,414.4203802,4343.289371
