Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
"MgO - Renewable, short distance, avoided product Filler",MgO - Renewable,0,50,0,Filler,50.3844495,9287.876364,2.969879901,9284.429058,2.988095075,273303.4801,256419.2434,17099.74475,86468.81554,0.224139128,9.93526739,114.6699014,4.53684E-05,4.17578E-05,3.65045E-06,0.000739451,0.00073526,4.38489E-06,63.48742975,43579.52187,0.000119969,0.043596707,0.002992697,40.063659,1353.357254,5987.973423
"MgO - Renewable, short distance, building savings considered",MgO - Renewable,0,50,1,None,4.5003898,-27182.19214,-163.3539028,-26995.41436,-20.91320867,240157.0824,227477.7995,12894.79089,-459261.5278,-1.708451903,-0.165431248,-3.961837748,3.74741E-05,3.73301E-05,1.8394E-07,0.000592735,0.000596417,-3.48786E-06,-673.9656233,9150.574959,-0.000453162,0.000141204,0.002759813,-20.73030677,-1525.850482,-15205.48159
"MgO - Renewable, short distance, building savings considered, avoided product SCM",MgO - Renewable,0,50,1,SCM,-68.83081921,-63514.33431,-171.2958947,-63315.18718,-25.34056939,198655.8841,187765.7105,11105.68168,-593871.2724,-2.107121327,-21.90789894,-256.1867024,3.21608E-05,3.42498E-05,-2.04912E-06,0.0003715,0.00037834,-6.64542E-06,-944.5265835,-14386.32755,-0.000585853,-0.014331184,0.002334266,-90.76551928,-4276.201117,-15977.37998
"MgO - Renewable, short distance, building savings considered, avoided product Aggregate",MgO - Renewable,0,50,1,Aggregate,3.216211129,-27386.35907,-163.7312122,-27199.09862,-21.01856625,238747.6103,226134.1347,12828.98362,-462367.9584,-1.71097188,-0.659654731,-9.506568141,3.72884E-05,3.7233E-05,9.52855E-08,0.000590326,0.00059425,-3.72998E-06,-684.3313087,5364.584488,-0.000457183,-0.001047626,0.002729988,-22.47037886,-1600.005058,-15977.37998
"MgO - Renewable, short distance, building savings considered, avoided product Filler",MgO - Renewable,0,50,1,Filler,4.5003898,-27182.19214,-163.3539028,-26995.41436,-20.91320867,240157.0824,227477.7995,12894.79089,-459261.5278,-1.708451903,-0.165431248,-3.961837748,3.74741E-05,3.73301E-05,1.8394E-07,0.000592735,0.000596417,-3.48786E-06,-673.9656233,9150.574959,-0.000453162,0.000141204,0.002759813,-20.73030677,-1525.850482,-15205.48159
"MgO - Renewable, optimised transport",MgO - Renewable,1,200,0,None,45.71128236,8838.893291,2.203098745,8836.648422,2.552438678,271924.0573,255122.2613,17017.304,81275.85922,0.213995421,8.115572516,94.53574405,4.32347E-05,4.14553E-05,1.81932E-06,0.000734035,0.000730294,3.93513E-06,46.10530791,53408.3201,0.000105029,0.03287716,0.002945232,33.47503184,1284.542383,7036.310345
"MgO - Renewable, optimised transport, avoided product SCM",MgO - Renewable,1,200,0,SCM,-27.61992665,-27493.24888,-5.738893161,-27483.1244,-1.87492204,230422.859,215410.1723,15228.19478,-53333.88536,-0.184674003,-13.62689517,-157.6891206,3.79214E-05,3.8375E-05,-4.13741E-07,0.0005128,0.000512217,7.7757E-07,-224.4556523,29871.41759,-2.76624E-05,0.018404772,0.002519685,-36.56018067,-1465.808251,6264.411949
"MgO - Renewable, optimised transport, avoided product Aggregate",MgO - Renewable,1,200,0,Aggregate,44.42710369,8634.726363,1.825789385,8632.964161,2.447081099,270514.5852,253778.5965,16951.49672,78169.4286,0.211475443,7.621349034,88.99101366,4.3049E-05,4.13582E-05,1.73066E-06,0.000731627,0.000728128,3.69301E-06,35.73962256,49622.32963,0.000101008,0.031688329,0.002915407,31.73495975,1210.387808,6264.411949
"MgO - Renewable, optimised transport, avoided product Filler",MgO - Renewable,1,200,0,Filler,45.71128236,8838.893291,2.203098745,8836.648422,2.552438678,271924.0573,255122.2613,17017.304,81275.85922,0.213995421,8.115572516,94.53574405,4.32347E-05,4.14553E-05,1.81932E-06,0.000734035,0.000730294,3.93513E-06,46.10530791,53408.3201,0.000105029,0.03287716,0.002945232,33.47503184,1284.542383,7036.310345
"MgO - Renewable, optimised transport, building savings considered",MgO - Renewable,1,200,1,None,-0.172777335,-27631.17521,-164.120684,-27443.19499,-21.34886507,238777.6595,226180.8174,12812.35014,-464454.4841,-1.71859561,-1.985126122,-24.09599506,3.53404E-05,3.70275E-05,-1.64719E-06,0.000587319,0.000591451,-3.93761E-06,-691.3477451,18979.37319,-0.000468102,-0.010578343,0.002712348,-27.31893392,-1594.665353,-14157.14467
"MgO - Renewable, optimised transport, building savings considered, avoided product SCM",MgO - Renewable,1,200,1,SCM,-73.50398635,-63963.31739,-172.0626759,-63762.96782,-25.77622579,197276.4613,186468.7284,11023.24093,-599064.2287,-2.117265033,-23.72759381,-276.3208597,3.00271E-05,3.39472E-05,-3.88025E-06,0.000366084,0.000373373,-7.09518E-06,-961.9087053,-4557.529318,-0.000600794,-0.025050731,0.002286801,-97.35414644,-4345.015988,-14929.04306
"MgO - Renewable, optimised transport, building savings considered, avoided product Aggregate",MgO - Renewable,1,200,1,Aggregate,-1.456956006,-27835.34214,-164.4979933,-27646.87926,-21.45422265,237368.1875,224837.1526,12746.54287,-467560.9148,-1.721115587,-2.479349605,-29.64072546,3.51547E-05,3.69305E-05,-1.73585E-06,0.000584911,0.000589284,-4.17974E-06,-701.7134305,15193.38272,-0.000472123,-0.011767173,0.002682523,-29.05900602,-1668.819929,-14929.04306
"MgO - Renewable, optimised transport, building savings considered, avoided product Filler",MgO - Renewable,1,200,1,Filler,-0.172777335,-27631.17521,-164.120684,-27443.19499,-21.34886507,238777.6595,226180.8174,12812.35014,-464454.4841,-1.71859561,-1.985126122,-24.09599506,3.53404E-05,3.70275E-05,-1.64719E-06,0.000587319,0.000591451,-3.93761E-06,-691.3477451,18979.37319,-0.000468102,-0.010578343,0.002712348,-27.31893392,-1594.665353,-14157.14467
"MgO - Renewable, optimised transport, short distance",MgO - Renewable,1,50,0,None,42.38444045,7623.61256,1.857770303,7622.336297,1.929161425,262258.5377,245817.1383,16656.9074,62804.84185,0.20225787,7.254165727,85.47965912,4.26685E-05,4.11624E-05,1.5459E-06,0.000720678,0.000717578,3.29303E-06,39.21024591,34849.62378,8.44086E-05,0.029389259,0.002825681,28.68282156,1191.950914,5712.337145
"MgO - Renewable, optimised transport, short distance, avoided product SCM",MgO - Renewable,1,50,0,SCM,-30.94676856,-28708.52961,-6.084221602,-28697.43652,-2.498199294,220757.3394,206105.0493,14867.79818,-71804.90273,-0.196411554,-14.48830196,-166.7452055,3.73551E-05,3.80822E-05,-6.87163E-07,0.000499443,0.000499501,1.35463E-07,-231.3507143,11312.72127,-4.82828E-05,0.014916871,0.002400134,-41.35239096,-1558.39972,4940.43875
"MgO - Renewable, optimised transport, short distance, avoided product Aggregate",MgO - Renewable,1,50,0,Aggregate,41.10026178,7419.445631,1.480460944,7418.652035,1.823803845,260849.0656,244473.4735,16591.10012,59698.41123,0.199737892,6.759942244,79.93492872,4.24828E-05,4.10654E-05,1.45724E-06,0.000718269,0.000715412,3.0509E-06,28.84456056,31063.63331,8.03878E-05,0.028200429,0.002795856,26.94274947,1117.796338,4940.43875
"MgO - Renewable, optimised transport, short distance, avoided product Filler",MgO - Renewable,1,50,0,Filler,42.38444045,7623.61256,1.857770303,7622.336297,1.929161425,262258.5377,245817.1383,16656.9074,62804.84185,0.20225787,7.254165727,85.47965912,4.26685E-05,4.11624E-05,1.5459E-06,0.000720678,0.000717578,3.29303E-06,39.21024591,34849.62378,8.44086E-05,0.029389259,0.002825681,28.68282156,1191.950914,5712.337145
"MgO - Renewable, optimised transport, short distance, building savings considered",MgO - Renewable,1,50,1,None,-3.499619244,-28846.45594,-164.4660124,-28657.50712,-21.97214232,229112.1399,216875.6944,12451.95354,-482925.5015,-1.730333161,-2.846532912,-33.15208,3.47742E-05,3.67347E-05,-1.92062E-06,0.000573961,0.000578735,-4.57972E-06,-698.2428071,420.6768678,-0.000488723,-0.014066243,0.002592797,-32.11114421,-1687.256822,-15481.11787
"MgO - Renewable, optimised transport, short distance, building savings considered, avoided product SCM",MgO - Renewable,1,50,1,SCM,-76.83082826,-65178.59812,-172.4080043,-64977.27994,-26.39950304,187610.9417,177163.6053,10662.84433,-617535.2461,-2.129002584,-24.5890006,-285.3769446,2.94608E-05,3.36544E-05,-4.15367E-06,0.000352726,0.000360658,-7.73728E-06,-968.8037673,-23116.22564,-0.000621414,-0.028538631,0.00216725,-102.1463567,-4437.607457,-16253.01626
"MgO - Renewable, optimised transport, short distance, building savings considered, avoided product Aggregate",MgO - Renewable,1,50,1,Aggregate,-4.783797915,-29050.62287,-164.8433218,-28861.19138,-22.0774999,227702.6678,215532.0296,12386.14627,-486031.9321,-1.732853138,-3.340756394,-38.69681039,3.45885E-05,3.66376E-05,-2.00927E-06,0.000571553,0.000576568,-4.82184E-06,-708.6084925,-3365.313604,-0.000492743,-0.015255074,0.002562972,-33.8512163,-1761.411398,-16253.01626
"MgO - Renewable, optimised transport, short distance, building savings considered, avoided product Filler",MgO - Renewable,1,50,1,Filler,-3.499619244,-28846.45594,-164.4660124,-28657.50712,-21.97214232,229112.1399,216875.6944,12451.95354,-482925.5015,-1.730333161,-2.846532912,-33.15208,3.47742E-05,3.67347E-05,-1.92062E-06,0.000573961,0.000578735,-4.57972E-06,-698.2428071,420.6768678,-0.000488723,-0.014066243,0.002592797,-32.11114421,-1687.256822,-15481.11787
